document,platform,stage,location,code,message,fragment
"MCB.CLT.TBL.COLLATERAL_ALLOCATIONS.docx","oracle","GENERATION","","ORACLE_NUMBER_PRECISION_UNSUPPORTED","IllegalArgumentException: Oracle NUMBER precision exceeds maximum 38: 510",""
"MCB.CLT.TBL.COLLATERAL_ALLOCATIONS.docx","db2zos","GENERATION","","DB2_DECIMAL_PRECISION_UNSUPPORTED","IllegalArgumentException: Db2 z/OS DECIMAL precision exceeds 31: NUMBER(510)",""
"MCB.CLT.TBL.COLLATERAL_ALLOCATIONS.docx","sqlserver","GENERATION","","SQLSERVER_DECIMAL_PRECISION_UNSUPPORTED","IllegalArgumentException: SQL Server DECIMAL precision exceeds maximum 38: NUMBER(510)",""
"MCB.CLT.TBL.COLLATERAL_ALLOCATIONS.docx","mysql","GENERATION","","MYSQL_DECIMAL_PRECISION_UNSUPPORTED","IllegalArgumentException: Unsupported MySQL logical mapping for DataType[name=NUMBER, length=null, lengthSemantics=DEFAULT, precision=510, scale=null]: DECIMAL precision must be between 1 and 65",""
"MCB.CLT.TBL.COLLATERAL_DEFINITION_EXCLUSIVE_ITEMS.V0.7.docx","mysql","GENERATION","","MYSQL_MULTIPLE_AUTO_INCREMENT","IllegalArgumentException: MySQL permits only one AUTO_INCREMENT column per table: CLT.COLLATERAL_DEFINITION_EXCLUSIVE_ITEMS",""
"MCB.CLT.TBL.COLLATERAL_TRANSACTIONS.V0.1.docx","mysql","GENERATION","","MYSQL_MULTIPLE_AUTO_INCREMENT","IllegalArgumentException: MySQL permits only one AUTO_INCREMENT column per table: CLT.COLLATERAL_TRANSACTIONS",""
"MCB.CLT.TBL.COLLATERAL_TRANSACTIONS.docx","mysql","GENERATION","","MYSQL_MULTIPLE_AUTO_INCREMENT","IllegalArgumentException: MySQL permits only one AUTO_INCREMENT column per table: CLT.COLLATERAL_TRANSACTIONS",""
"MCB.CSH.TBL.SECURITIES_DETAILS.docx","mysql","GENERATION","","MYSQL_MULTIPLE_AUTO_INCREMENT","IllegalArgumentException: MySQL permits only one AUTO_INCREMENT column per table: CASH.SECURITIES_DETAILS",""
"MCB.CSH.TBL.SECURITIES_SALE_PROFILE_HISTORY.docx","mysql","GENERATION","","MYSQL_MULTIPLE_AUTO_INCREMENT","IllegalArgumentException: MySQL permits only one AUTO_INCREMENT column per table: CSH.SECURITIES_SALE_PROFILE_HISTORY",""
"MCB.DPS.TBL.BLOCK_UNBLOCK_DEPOSITS.docx","mysql","GENERATION","","MYSQL_MULTIPLE_AUTO_INCREMENT","IllegalArgumentException: MySQL permits only one AUTO_INCREMENT column per table: DPS.BLOCK_UNBLOCK_DEPOSITS",""
